sequence,condition,mode,ate_rmse,ate_mean,ate_median,ate_std,pct_vs_clean
traj1,clean,mono,0.010231,0.007108,0.005927,0.007359,
traj1,clean,stereo,0.006814,0.005937,0.005426,0.003344,
